ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIP,PHONE,Exam1,Exam2,Exam3,Exam4
1,JOSE,DEVERO,1431 S MARSTON ST,PHILADELPHIA,PA,19121,4849415642,97,70,65,69
2,BOBBY,HARLESS,3107 N 17TH ST,PHILADELPHIA,PA,19121,7244525688,68,56,36,50
3,RAMON,TARVIN,82238 CHESTNUT ST,PHILADELPHIA,PA,19121,7248051572,71,66,87,97
4,JASON,BOODY,2233 N REESE ST,PHILADELPHIA,PA,19121,8782547708,90,65,74,80
5,EARL,FEROCE,537 TYSON AVE,PHILADELPHIA,PA,19121,4843224407,75,43,92,94
6,FRANK,HUBBARD,2913 MIFFLIN ST,PHILADELPHIA,PA,19121,8142040234,100,75,70,47
7,DAVID,LOONEY,829 CHURCH LA,PHILADELPHIA,PA,19121,7246781170,61,71,77,76
8,JAMES,COCHRAN,1904 CECIL B MOORE AVE,PHILADELPHIA,PA,19121,5708095189,80,41,82,95
9,JASON,HUGHES,1217 W SILVER ST,PHILADELPHIA,PA,19121,6102896190,100,35,85,79
10,JOSE,SMITH,1721 67TH AVE,PHILADELPHIA,PA,19121,8356871081,69,47,47,71
11,DAVID,LOONEY,829 CHURCH LA,PHILADELPHIA,PA,19121,7246781170,100,64,67,59
12,TYLER,ONSTOTT,1147 LEVICK ST,PHILADELPHIA,PA,19121,4122011612,74,37,78,70
13,ROBERT,HOPKINS,509 ELLSWORTH ST,PHILADELPHIA,PA,19121,2678167420,70,81,79,81
14,MICHAEL,GRANT,1710 BENSON ST,PHILADELPHIA,PA,19121,7174110919,40,99,93,44
15,DAVID,ELKIN,1301 E HUNTING PARK AVE,PHILADELPHIA,PA,19121,8354417097,54,92,84,92
16,BLAINE,SHAW,11849 BRANDON RD,PHILADELPHIA,PA,19121,8357096363,100,82,30,75
17,JAMES,ABELING,320 PENSDALE ST,PHILADELPHIA,PA,19121,8353589117,38,96,52,81
18,DAVID,ELKIN,1301 E HUNTING PARK AVE,PHILADELPHIA,PA,19121,8354417097,100,65,93,70
19,KEN,LONG,210 E GIRARD AVE,PHILADELPHIA,PA,19121,4124238039,90,86,85,72
20,JAMES,PAINTER,7028 VANDIKE ST,PHILADELPHIA,PA,19121,5707873746,76,82,25,65
21,WADE,SMITH,3009 N 23RD ST,PHILADELPHIA,PA,19121,7249120004,69,35,73,59
22,DONALD,ROBERTS,2716 N 22ND ST,PHILADELPHIA,PA,19121,6105662108,79,92,59,62
23,JON,LEPORE,4318 BLAKISTON ST,PHILADELPHIA,PA,19121,8786722524,44,54,79,59
24,DONNIE,TUCKER,2403 N BOUVIER ST,PHILADELPHIA,PA,19121,2155222666,100,64,65,34
25,DUANE,HUNT,2451 STEWART ST,PHILADELPHIA,PA,19121,4129268911,100,100,29,65
26,JASON,SHELDON,867 N OPAL ST,PHILADELPHIA,PA,19121,8144995262,86,60,59,91
27,STEVEN,WILLIAMS,1363 KIMBERLY DR,PHILADELPHIA,PA,19121,4452736692,47,68,81,88
28,DUANE,HUNT,2451 STEWART ST,PHILADELPHIA,PA,19121,4129268911,53,72,36,53
29,SCOTT,MAHAR,752 S 08TH ST,PHILADELPHIA,PA,19121,8782383512,61,48,79,55
30,ROBERT,MCDANIEL,1218 W WYOMING AVE,PHILADELPHIA,PA,19121,5707797127,46,51,61,71
31,ROGER,BENNETT,812 S SWANSON ST,PHILADELPHIA,PA,19121,7176017782,52,20,87,72
32,JAMES,TAYLOE,7600 E ROOSEVELT BLV,PHILADELPHIA,PA,19121,5707300008,53,66,79,93
33,JOHN,GOSS,8619 COLONY DR,PHILADELPHIA,PA,19121,8785555889,50,72,91,92
34,NELSON,HARTGRAVES,3209 BELGREEN RD,PHILADELPHIA,PA,19121,4849166859,21,63,57,39
35,JAMES,TAYLOE,7600 E ROOSEVELT BLV,PHILADELPHIA,PA,19121,5707300008,92,81,83,63
36,KENNETH,SHAW,1526 S LAMBERT ST,PHILADELPHIA,PA,19121,2674133271,82,100,88,98
37,KENNETH,BYERS,2833 STEVENS ST,PHILADELPHIA,PA,19121,2152497678,83,72,75,34
38,KEVIN,SLONAKER,6603 HARLEY AVE,PHILADELPHIA,PA,19121,2676028711,100,56,71,53
39,JOHNATHON,WILLIAMS,6138 OSAGE AVE,PHILADELPHIA,PA,19121,8142667075,71,93,52,63
40,BRIAN,COPPINGER,2022 NAUDAIN ST,PHILADELPHIA,PA,19121,8144704805,90,86,90,97
41,HENRY,PARKS,4312 M ST,PHILADELPHIA,PA,19121,4845777679,48,79,62,75
42,SAMUEL,MOORE,8262 FORREST AVE,PHILADELPHIA,PA,19121,8788618693,76,69,74,78
43,JAIME,COLEY,2349 N 06TH ST,PHILADELPHIA,PA,19121,8354796041,100,98,74,56
44,HENRY,PARKS,4312 M ST,PHILADELPHIA,PA,19121,4845777679,100,73,65,69
45,JASON,ELLEDGE,1016 OREGON AVE,PHILADELPHIA,PA,19121,8359674648,13,51,59,56
46,MARVIN,MARTIN,529 FERNON ST,PHILADELPHIA,PA,19121,8149989071,60,47,67,100
47,JOHN,SHERMAN,5141 CHARLES ST,PHILADELPHIA,PA,19121,5702732030,100,74,66,52
48,JOSE,ZIELINSKI,4221 OLIVE ST,PHILADELPHIA,PA,19121,8357956474,99,70,46,25
49,GENE,PEAKE,3546 N SMEDLEY ST,PHILADELPHIA,PA,19121,8146183537,94,88,95,60
50,GEORGE,JOHNSON,8133 ANGELO PL,PHILADELPHIA,PA,19121,4125309151,55,60,73,51
51,MICHAEL,KENDALL,4432 MALTA ST,PHILADELPHIA,PA,19121,8148065248,44,83,74,73
52,JOHNNY,COUGHLIN,1918 POPLAR ST,PHILADELPHIA,PA,19121,4844888235,89,80,54,54
53,JOSE,ZIELINSKI,4221 OLIVE ST,PHILADELPHIA,PA,19121,8357956474,100,69,54,99
54,JOHNNY,MINASIAN,635 E THAYER ST,PHILADELPHIA,PA,19121,2159824511,49,66,53,73
55,BENTON,MAULSBY,2453 S HUTCHINSON ST,PHILADELPHIA,PA,19121,8357478129,55,60,80,94
56,CHARLES,PULIS,2622 S BOUVIER ST,PHILADELPHIA,PA,19121,8143845836,82,72,53,36
57,AMANDA,HANENBERGER,6500 E WISTER ST,PHILADELPHIA,PA,19121,4129067429,67,31,72,46
58,AMY,JOHNSON,2040 N LEITHGOW ST,PHILADELPHIA,PA,19121,6103900625,66,87,60,81
59,MARY,ZEIGLER,4360 CRESSON ST,PHILADELPHIA,PA,19121,2155521074,76,55,51,68
60,AMANDA,HANENBERGER,6500 E WISTER ST,PHILADELPHIA,PA,19121,4129067429,76,72,58,100
61,DARLENE,BRADLEY,1353 KIMBERLY DR,PHILADELPHIA,PA,19121,8147217503,73,71,61,21
62,MARILYN,SKORUP,1933 RIDGE AVE,PHILADELPHIA,PA,19121,7175347641,79,80,64,27
63,CARRIE,BAKER,4304 COMLY ST,PHILADELPHIA,PA,19121,2159236200,71,97,48,66
64,MARIBEL,HAVERY,4831 WALNUT ST,PHILADELPHIA,PA,19121,2155407489,100,48,98,56
65,TONI,BLANCHARD,348 N SALFORD ST,PHILADELPHIA,PA,19121,6104809337,75,65,53,80
